"","volatile.acidity","citric.acid","sulphates","alcohol","quality"
"2",0.88,0,0.68,9.8,"5"
"3",0.76,0.04,0.65,9.8,"5"
"4",0.28,0.56,0.58,9.8,"6"
"5",0.7,0,0.56,9.4,"5"
"6",0.66,0,0.56,9.4,"5"
"7",0.6,0.06,0.46,9.4,"5"
"8",0.65,0,0.47,10,"7"
"9",0.58,0.02,0.57,9.5,"7"
"10",0.5,0.36,0.8,10.5,"5"
"11",0.58,0.08,0.54,9.2,"5"
"12",0.5,0.36,0.8,10.5,"5"
"13",0.615,0,0.52,9.9,"5"
"14",0.61,0.29,1.56,9.1,"5"
"15",0.62,0.18,0.88,9.2,"5"
"16",0.62,0.19,0.93,9.2,"5"
"17",0.28,0.56,0.75,10.5,"7"
"18",0.56,0.28,1.28,9.3,"5"
"19",0.59,0.08,0.5,9,"4"
"20",0.32,0.51,1.08,9.2,"6"
"21",0.22,0.48,0.53,9.4,"6"
"22",0.39,0.31,0.65,9.7,"5"
"23",0.43,0.21,0.91,9.5,"5"
"24",0.49,0.11,0.53,9.4,"5"
"25",0.4,0.14,0.63,9.7,"6"
"26",0.39,0.16,0.56,9.3,"5"
"27",0.41,0.24,0.59,9.5,"5"
"28",0.43,0.21,0.91,9.5,"5"
"29",0.71,0,0.55,9.4,"5"
"30",0.645,0,0.59,9.8,"6"
"31",0.675,0.07,0.54,10.1,"5"
"32",0.685,0,0.57,10.6,"6"
"33",0.655,0.12,0.66,9.8,"5"
"34",0.605,0.12,0.52,9.4,"6"
"35",0.32,0.25,0.55,9.2,"5"
"36",0.645,0,0.55,9.6,"6"
"37",0.6,0.14,0.6,10.8,"6"
"38",0.38,0.28,0.73,9.7,"7"
"39",1.13,0.09,0.48,9.8,"4"
"40",0.45,0.36,0.83,10.5,"5"
"41",0.45,0.36,0.83,10.5,"5"
"42",0.61,0.3,0.51,9.3,"4"
"43",0.49,0.2,0.9,10.5,"6"
"44",0.66,0.22,1.2,10.3,"5"
"45",0.67,0.02,0.52,9.5,"5"
"46",0.52,0.15,0.56,13.1,"4"
"47",0.935,0.43,0.73,9.2,"5"
"48",0.29,0.52,0.58,9.5,"5"
"49",0.4,0.23,0.56,9.2,"5"
"50",0.31,0.37,0.58,9.2,"5"
"51",0.66,0.26,0.74,9.2,"5"
"52",0.52,0.04,0.63,9.4,"6"
"53",0.5,0.04,0.64,9.4,"6"
"54",0.38,0.36,0.56,9.4,"5"
"55",0.51,0.15,0.63,10.2,"6"
"56",0.62,0.04,0.53,9.5,"5"
"57",0.42,0.57,0.63,9.6,"5"
"58",0.63,0.12,0.77,9.4,"5"
"59",0.59,0.18,0.59,10,"5"
"60",0.39,0.31,0.54,9.4,"6"
"61",0.4,0.4,0.64,9.2,"5"
"62",0.69,0.49,0.71,9.3,"5"
"63",0.52,0.16,0.62,9.5,"7"
"64",0.735,0.05,0.57,9.8,"5"
"65",0.725,0.05,0.39,10.9,"5"
"66",0.725,0.05,0.39,10.9,"5"
"67",0.52,0.11,0.58,9.6,"5"
"68",0.705,0.07,0.58,10.7,"5"
"69",0.32,0.57,0.79,10.7,"5"
"70",0.705,0.05,0.95,10.5,"6"
"71",0.63,0.08,0.54,9.5,"6"
"72",0.67,0.23,0.48,9.5,"5"
"73",0.69,0.22,0.48,9.5,"5"
"74",0.675,0.26,0.53,9.2,"4"
"75",0.32,0.54,0.82,9.6,"5"
"76",0.41,0.64,0.66,10.5,"5"
"77",0.41,0.64,0.66,10.5,"5"
"78",0.785,0,0.55,10.7,"6"
"79",0.75,0.12,0.52,10.1,"5"
"80",0.625,0.2,1.12,9.1,"4"
"81",0.45,0.2,0.56,9.2,"5"
"82",0.43,0.7,1.28,9.4,"5"
"83",0.5,0.47,0.57,9.1,"5"
"84",0.67,0.26,1.14,9.4,"5"
"85",0.3,0.48,0.78,10.3,"6"
"86",0.55,0.15,0.59,10.1,"5"
"87",0.49,0.28,1.95,9.9,"6"
"88",0.49,0.26,0.64,9.6,"5"
"89",0.39,0.44,1.22,9.5,"5"
"90",0.62,0.08,0.53,9,"5"
"91",0.52,0.26,0.54,9.5,"5"
"92",0.49,0.28,1.95,9.9,"6"
"93",0.49,0.29,1.98,9.8,"5"
"94",0.49,0.26,0.64,9.6,"5"
"95",1.02,0.04,0.48,10.5,"4"
"96",0.6,0.17,0.6,12.9,"6"
"97",0.775,0,0.56,10.7,"5"
"98",0.5,0.25,0.63,9.2,"5"
"99",0.9,0.06,0.56,9.8,"5"
"100",0.545,0.18,0.59,9,"6"
"101",0.61,0.3,0.61,10.2,"6"
"102",0.5,0.3,0.56,10.4,"6"
"103",0.545,0.18,0.59,9,"6"
"104",0.575,0.22,0.51,9.2,"5"
"105",0.49,0.24,0.48,9.4,"5"
"106",0.575,0.22,0.51,9.2,"5"
"107",0.41,0.68,1.31,9.3,"5"
"108",0.63,0.31,0.79,9.3,"5"
"109",0.33,0.53,0.8,9.6,"6"
"110",0.785,0.52,0.69,9.3,"5"
"111",0.56,0.19,0.93,9.5,"5"
"112",0.62,0.09,0.66,9.8,"5"
"113",0.6,0.1,0.66,9.8,"5"
"114",0.31,0.44,0.67,9.7,"6"
"115",0.56,0.19,0.93,9.5,"5"
"116",0.4,0.31,0.63,10.5,"6"
"117",0.54,0.28,0.61,10,"6"
"118",0.56,0.12,0.5,9.4,"6"
"119",0.55,0.04,0.6,10.9,"6"
"120",0.69,0.08,0.54,9.2,"6"
"121",1.07,0.09,0.57,9,"5"
"122",0.55,0.04,0.6,10.9,"6"
"123",0.695,0,0.52,9.2,"5"
"124",0.71,0,0.53,9.5,"5"
"125",0.5,0.17,0.48,9.5,"5"
"126",0.62,0.04,0.7,9.4,"5"
"127",1.33,0,0.49,10.9,"5"
"128",1.33,0,0.48,10.9,"5"
"129",0.59,0.16,0.92,10.5,"7"
"130",0.38,0.15,0.57,9.4,"5"
"131",0.745,0.56,0.66,9.4,"5"
"132",0.5,0.09,0.63,13,"5"
"133",0.5,0.09,0.63,13,"5"
"134",0.5,0.01,0.58,9.8,"6"
"135",1.04,0.05,0.55,9.9,"6"
"136",0.745,0.11,0.82,9.6,"5"
"137",0.715,0.15,0.77,9.5,"5"
"138",0.415,0.36,0.64,9.2,"5"
"139",0.56,0.19,0.54,9.5,"5"
"140",0.56,0.19,0.54,9.5,"5"
"141",0.745,0.11,0.82,9.6,"5"
